Algoritme,Mapa,Trobat,Longitud,NodesExplorats,NodesTallats,MemoriaPic,TempsMs
BFS,mapA,YES,5,154,570,281,15
DFS,mapA,YES,17,19,22,130,0
IDS,mapA,YES,5,319,468,139,2
A* Basica,mapA,YES,5,52,169,163,9
A* Avancada,mapA,YES,7,17,32,106,1
BFS,mapB,YES,31,183,276,187,2
DFS,mapB,YES,33,78,90,117,1
IDS,mapB,YES,31,3499,4862,196,14
A* Basica,mapB,YES,31,153,227,166,4
A* Avancada,mapB,YES,31,144,211,164,3
BFS,mapC,YES,37,13113,51940,14162,133
DFS,mapC,YES,50,10571,35576,2796,62
IDS,mapC,YES,37,750383,2602526,13043,3682
A* Basica,mapC,YES,37,11171,43851,12950,347
A* Avancada,mapC,YES,37,5240,20107,7052,238
BFS,mapD,YES,79,113818,702218,116251,3258
DFS,mapD,NO),-,786016,4595832,84332,19749
IDS,mapD,NO),-,8505240,47979867,80548,197118
A* Basica,mapD,YES,79,105382,651011,108006,18021
A* Avancada,mapD,YES,79,77684,479115,83808,14251
